Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C20, C4, C5, C6",0603,7,0.1uF,
"C11, C12, C14, C15",0603,4,0.22uF,
"C13, C16",0603,2,0.47uF,
"C17, C18, C8",0603,3,1uF,
"C19, C3",0603,2,10uF,
C7,0603,1,10nF,
C9,0603,1,4.7uF,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Debug Connector,
J2,PinSocket_1x14_P2.54mm_Vertical,1,Display / Mounting Socket,
J3,PinSocket_1x04_P2.54mm_Vertical,1,Display Mounting Socket,
J4,2171790001_MOL,1,Molex 2171790001,
P1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,282837-2,
"R1, R10, R11, R12, R13, R2, R3, R4, R5, R6, R7, R8, R9",0603,13,10K,
"R14, R15",0603,2,5.1kΩ,
S1,OS102011MA1QN1_CNK,1,OS102011MA1QN1,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32L433CCTx,
U2,SOIC-8_5P28X5P28_WIN,1,W25Q64JV,
U3,LGA-16_3x3x1mm_STM,1,LIS3DHTR,
U4,SOT-23,1,MCP1700x-300xxTT,
"U5, U6",XDCR_PEC11R-4215F-S0024,2,PEC11R_4215F_S0024,
