Designator,Mid X,Mid Y,Rotation,Layer
C1,133.7295,-73.175,90.0,top
C10,140.1095,-69.899,90.0,top
C11,114.161,-107.442,180.0,top
C12,124.219,-107.442,0.0,top
C13,117.107,-129.032,180.0,top
C14,174.765,-107.442,180.0,top
C15,164.325,-107.442,180.0,top
C16,170.955,-129.032,0.0,top
C17,112.268,-51.829,90.0,top
C18,116.7519,-51.829,90.0,top
C19,131.064,-52.845,270.0,top
C2,135.2835,-73.175,90.0,top
C20,151.0315,-82.283,90.0,top
C3,135.5245,-75.728,180.0,top
C4,139.0935,-83.058,90.0,top
C5,149.847,-84.836,0.0,top
C6,142.1415,-73.442,90.0,top
C7,151.0315,-77.786,90.0,top
C8,152.5555,-77.773,90.0,top
C9,137.5695,-83.058,90.0,top
J1,142.24,-94.488,270.0,top
J2,97.23,-75.418,0.0,top
J3,191.23,-77.658,0.0,top
J4,105.664,-50.8,180.0,top
P1,136.414,-53.594,0.0,top
R1,151.8565,-80.046,180.0,top
R10,172.911,-110.49,0.0,top
R11,166.053,-108.966,180.0,top
R12,172.911,-108.966,0.0,top
R13,167.831,-129.032,180.0,top
R14,108.013,-55.88,0.0,top
R15,103.441,-55.88,180.0,top
R2,146.875,-86.614,180.0,top
R3,151.0861,-69.7025,90.0,top
R4,115.761,-110.49,0.0,top
R5,122.491,-110.49,0.0,top
R6,115.761,-108.966,180.0,top
R7,122.491,-108.966,0.0,top
R8,120.205,-129.032,0.0,top
R9,166.053,-110.49,0.0,top
S1,123.5001,-49.48555,180.0,top
U1,145.034,-80.264,90.0,top
U2,145.6086,-68.743,90.0,top
U3,137.3915,-73.696,180.0,top
U4,114.0364,-53.914,0.0,top
U5,119.23,-119.788,180.0,top
U6,169.53,-119.638,180.0,top
VBAT,137.668,-58.928,0.0,top
VDD,123.952,-58.928,0.0,top
VSS,115.57,-58.928,0.0,top
